Position,Points,Name,Known.For,Birth.Date,Wiki_Name
199,20415,John Hawkes,The Sessions,11/09/1959,John_Hawkes
200,20247,Christopher Lee,Star Wars: Episode II - Attack of the Clones,27/05/1922,Christopher_Lee
201,20201,James Franco,Spring Breakers,19/04/1978,James_Franco
202,20074,Eric Bana,Dirty John,09/08/1968,Eric_Bana
203,19979,Daniel Day-Lewis,There Will Be Blood,29/04/1957,Daniel_Day-Lewis
204,19922,Miles Teller,Whiplash,20/02/1987,Miles_Teller
205,19868,Haley Joel Osment,The Sixth Sense,10/04/1988,Haley_Joel_Osment
206,19851,Shea Whigham,Take Shelter,05/01/1969,Shea_Whigham
207,19756,Gabriel Byrne,The Usual Suspects,12/05/1950,Gabriel_Byrne
208,19734,Jeff Bridges,The Big Lebowski,04/12/1949,Jeff_Bridges
209,19718,Bryan Cranston,Breaking Bad,07/03/1956,Bryan_Cranston
210,19649,Topher Grace,In Good Company,12/07/1978,Topher_Grace
211,19619,Seth Rogen,This Is the End,15/04/1982,Seth_Rogen
212,19603,Mark Rylance,Bridge of Spies,18/01/1960,Mark_Rylance
213,19574,Ben Stiller,Zoolander,30/11/1965,Ben_Stiller
214,19565,Hal Holbrook,Into the Wild,17/02/1925,Hal_Holbrook
215,19548,Rod Taylor,Inglourious Basterds,11/01/1930,Rod_Taylor
216,19310,Jean Dujardin,The Artist,19/06/1972,Jean_Dujardin
217,19301,Oscar Isaac,Ex Machina,09/03/1979,Oscar_Isaac
218,19298,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,25/05/1939,Ian_McKellen
219,19167,Chris Hemsworth,The Avengers,11/08/1983,Chris_Hemsworth
220,19075,Chris Pratt,Guardians of the Galaxy,21/06/1979,Chris_Pratt
221,18407,Michael Douglas,Behind the Candelabra,25/09/1944,Michael_Douglas
222,18301,Jason Clarke,Zero Dark Thirty,17/07/1969,Jason_Clarke
223,18206,Eli Wallach,"Il buono, il brutto, il cattivo",07/12/1915,Eli_Wallach
224,18195,Mathieu Amalric,Le scaphandre et le papillon,25/10/1965,Mathieu_Amalric
225,18120,David Hemmings,Blow-Up,18/11/1941,David_Hemmings
226,18110,Liev Schreiber,Spotlight,04/10/1967,Liev_Schreiber
227,17880,Pierce Brosnan,The World Is Not Enough,16/05/1953,Pierce_Brosnan
228,17562,Rupert Graves,Sherlock,30/06/1963,Rupert_Graves
229,17550,Jesper Christensen,Quantum of Solace,16/05/1948,Jesper_Christensen
230,17532,Michael Biehn,Aliens,31/07/1956,Michael_Biehn
231,17243,Sam Worthington,Avatar,02/08/1976,Sam_Worthington
232,17241,Thomas Kretschmann,King Kong,08/09/1962,Thomas_Kretschmann
233,17239,F. Murray Abraham,The Grand Budapest Hotel,24/10/1939,F._Murray_Abraham
234,17231,Robert Pattinson,Twilight,13/05/1986,Robert_Pattinson
235,17199,Lee J. Cobb,12 Angry Men,08/12/1911,Lee_J._Cobb
236,17103,Eli Roth,Cabin Fever,18/04/1972,Eli_Roth
237,17103,Til Schweiger,Inglourious Basterds,19/12/1963,Til_Schweiger
238,17103,August Diehl,Inglourious Basterds,04/01/1976,August_Diehl
239,17103,Alexander Fehling,Inglourious Basterds,29/03/1981,Alexander_Fehling
240,16981,Henry Fonda,12 Angry Men,16/05/1905,Henry_Fonda
241,16736,Peter Sarsgaard,Shattered Glass,07/03/1971,Peter_Sarsgaard
242,16690,David Thewlis,Naked,20/03/1963,David_Thewlis
243,16511,James Woods,Vampires,18/04/1947,James_Woods
244,16342,Cuba Gooding Jr.,Jerry Maguire,02/01/1968,Cuba_Gooding_Jr.
245,16208,Sebastian Koch,Das Leben der Anderen,31/05/1962,Sebastian_Koch
246,16090,Billy Bob Thornton,Sling Blade,04/08/1955,Billy_Bob_Thornton
247,15694,Nick Frost,The World's End,28/03/1972,Nick_Frost
248,15616,Dev Patel,Slumdog Millionaire,23/04/1990,Dev_Patel
249,15573,Jesse Eisenberg,The Social Network,05/10/1983,Jesse_Eisenberg
250,15439,Patrick Swayze,Dirty Dancing,18/08/1952,Patrick_Swayze
251,15200,Greg Kinnear,As Good as It Gets,17/06/1963,Greg_Kinnear
252,15124,Vin Diesel,Guardians of the Galaxy,18/07/1967,Vin_Diesel
253,15091,Alfred Molina,Spider-Man 2,24/05/1953,Alfred_Molina
