Position,Points,Name,Known.For,Birth.Date,Wiki_Name
238,7656,Michelle Yeoh,Everything Everywhere All at Once,06/08/1962,Michelle_Yeoh
239,7623,Anamaria Marinca,"4 luni, 3 saptamâni si 2 zile",01/04/1978,Anamaria_Marinca
240,7605,Mireille Enos,World War Z,22/09/1975,Mireille_Enos
241,7605,Daniella Kertesz,World War Z,11/03/1989,Daniella_Kertesz
242,7585,Kate Ashfield,Shaun of the Dead,28/05/1972,Kate_Ashfield
243,7549,Famke Janssen,X-Men: The Last Stand,05/11/1964,Famke_Janssen
244,7485,Geena Davis,Thelma & Louise,21/01/1956,Geena_Davis
245,7445,Adrianne Palicki,G.I. Joe: Retaliation,06/05/1983,Adrianne_Palicki
246,7367,Olivia Wilde,Tron,10/03/1984,Olivia_Wilde
247,7348,Elisabeth Röhm,American Hustle,28/04/1973,Elisabeth_Röhm
248,7228,Deborah Kara Unger,The Game,12/05/1966,Deborah_Kara_Unger
249,7206,Miranda Otto,The Lord of the Rings: The Return of the King,16/12/1967,Miranda_Otto
250,7180,Martina Gedeck,Das Leben der Anderen,14/09/1961,Martina_Gedeck
251,7158,Corinna Harfouch,Der Untergang,16/10/1954,Corinna_Harfouch
252,7158,Birgit Minichmayr,Der Untergang,03/04/1977,Birgit_Minichmayr
253,7152,Valeria Golino,Rain Man,22/10/1965,Valeria_Golino
254,7103,Joely Richardson,Nip/Tuck,09/01/1965,Joely_Richardson
255,7072,Whoopi Goldberg,Ghost,13/11/1955,Whoopi_Goldberg
256,7016,Claudia Cardinale,C'era una volta il West,15/04/1938,Claudia_Cardinale
257,6974,Lili Taylor,American Crime,20/02/1967,Lili_Taylor
258,6911,Bérénice Bejo,The Artist,07/07/1976,Bérénice_Bejo
259,6880,Eva Marie Saint,On the Waterfront,04/07/1924,Eva_Marie_Saint
260,6847,Audrey Hepburn,Breakfast at Tiffany's,04/05/1929,Audrey_Hepburn
261,6828,Sophie Okonedo,Hotel Rwanda,11/08/1968,Sophie_Okonedo
262,6776,Alicia von Rittberg,Fury,10/12/1993,Alicia_von_Rittberg
263,6659,Lisa Kudrow,Friends,30/07/1963,Lisa_Kudrow
264,6601,Kang Hye-jeong,Oldeuboi,04/01/1982,Kang_Hye-jeong
265,6585,Judy Garland,The Wizard of Oz,10/06/1922,Judy_Garland
266,6570,Anya Taylor-Joy,The Queen's Gambit,16/04/1996,Anya_Taylor-Joy
267,6552,Susanne Lothar,Funny Games,15/11/1960,Susanne_Lothar
268,6534,Karoline Herfurth,Perfume: The Story of a Murderer,22/05/1984,Karoline_Herfurth
269,6513,Katharine Ross,The Graduate,29/01/1940,Katharine_Ross
270,6501,Thelma Ritter,Rear Window,14/02/1902,Thelma_Ritter
271,6459,Anna Faris,The House Bunny,29/11/1976,Anna_Faris
272,6430,Claire Danes,My So-Called Life,12/04/1979,Claire_Danes
273,6411,Angela Bassett,Black Panther,16/08/1958,Angela_Bassett
274,6353,Anne Bancroft,The Graduate,17/09/1931,Anne_Bancroft
275,6348,Rosemarie DeWitt,Rachel Getting Married,26/10/1971,Rosemarie_DeWitt
276,6319,Paulette Goddard,Modern Times,03/06/1910,Paulette_Goddard
277,6304,Anne Heche,Six Days Seven Nights,25/05/1969,Anne_Heche
278,6281,Linda Cardellini,Scooby-Doo,25/06/1975,Linda_Cardellini
279,6271,Jessica Biel,The Illusionist,03/03/1982,Jessica_Biel
280,6211,Kate Hudson,Almost Famous,19/04/1979,Kate_Hudson
281,6206,Linda Hamilton,Terminator 2: Judgment Day,26/09/1956,Linda_Hamilton
282,6188,Jennifer Aniston,Friends,11/02/1969,Jennifer_Aniston
283,6175,Mia Farrow,Rosemary's Baby,09/02/1945,Mia_Farrow
284,6167,Lena Olin,The Unbearable Lightness of Being,22/03/1955,Lena_Olin
285,6131,Emmanuelle Seigner,Bitter Moon,22/06/1966,Emmanuelle_Seigner
286,6086,Ruby Dee,American Gangster,27/10/1922,Ruby_Dee
287,6074,Elizabeth McGovern,Ordinary People,18/07/1961,Elizabeth_McGovern
288,6019,Vivien Leigh,A Streetcar Named Desire,05/11/1913,Vivien_Leigh
289,6000,Cicely Tyson,The Help,19/12/1924,Cicely_Tyson
290,5972,Agnes Moorehead,"Hush...Hush, Sweet Charlotte",06/12/1900,Agnes_Moorehead
291,5943,Pam Grier,Jackie Brown,26/05/1949,Pam_Grier
292,5930,Geraldine Chaplin,Hable con ella,31/07/1944,Geraldine_Chaplin
293,5917,Kate Capshaw,Indiana Jones and the Temple of Doom,03/11/1953,Kate_Capshaw
294,5910,Amy Smart,Rat Race,26/03/1976,Amy_Smart
295,5895,Marie-Josée Croze,Les invasions barbares,23/02/1970,Marie-Josée_Croze
296,5824,Glenn Close,Fatal Attraction,19/03/1947,Glenn_Close
297,5760,Donna Reed,It's a Wonderful Life,27/01/1921,Donna_Reed
298,5758,Drew Barrymore,Charlie's Angels,22/02/1975,Drew_Barrymore
299,5704,AJ Michalka,Super 8,10/04/1991,AJ_Michalka
300,5694,Ayelet Zurer,Man of Steel,28/06/1969,Ayelet_Zurer
301,5685,Juliette Binoche,The English Patient,09/03/1964,Juliette_Binoche
302,5419,Olga Kurylenko,Oblivion,14/11/1979,Olga_Kurylenko
303,5277,Barbara Hershey,Black Swan,05/02/1948,Barbara_Hershey
304,5230,Keri Russell,Felicity,23/03/1976,Keri_Russell
305,5216,Lucy Boynton,Sing Street,17/01/1994,Lucy_Boynton
306,5203,Emmanuelle Béart,8 femmes,14/08/1963,Emmanuelle_Béart
307,5203,Ingeborga Dapkunaite,Seven Years in Tibet,20/01/1963,Ingeborga_Dapkunaite
308,5156,Kim Novak,Vertigo,13/02/1933,Kim_Novak
309,5156,Barbara Bel Geddes,Vertigo,31/10/1922,Barbara_Bel_Geddes
310,5127,Olivia de Havilland,The Heiress,01/07/1916,Olivia_de_Havilland
311,5117,Ruby Rose,Orange Is the New Black,20/03/1986,Ruby_Rose
312,5117,Claudia Gerini,The Passion of the Christ,18/12/1971,Claudia_Gerini
313,5076,Felicity Huffman,Transamerica,09/12/1962,Felicity_Huffman
314,5068,Joan Cusack,In & Out,11/10/1962,Joan_Cusack
315,5045,Molly Ringwald,Sixteen Candles,18/02/1968,Molly_Ringwald
316,5045,Ally Sheedy,The Breakfast Club,13/06/1962,Ally_Sheedy
317,5022,Hailee Steinfeld,True Grit,11/12/1996,Hailee_Steinfeld
318,4995,Lady Gaga,A Star Is Born,28/03/1986,Lady_Gaga
319,4962,Aitana Sánchez-Gijón,The Machinist,05/11/1968,Aitana_Sánchez-Gijón
320,4915,Felicity Jones,Rogue One,17/10/1983,Felicity_Jones
321,4895,Hope Davis,American Splendor,23/03/1964,Hope_Davis
322,4890,Judy Davis,Husbands and Wives,23/04/1955,Judy_Davis
323,4872,Salma Hayek,Frida,02/09/1966,Salma_Hayek
324,4849,Mary Elizabeth Mastrantonio,The Abyss,17/11/1958,Mary_Elizabeth_Mastrantonio
325,4791,Jessica Lange,Tootsie,20/04/1949,Jessica_Lange
326,4783,Diane Lane,Unfaithful,22/01/1965,Diane_Lane
327,4779,Tuesday Weld,Once Upon a Time in America,27/08/1943,Tuesday_Weld
328,4757,Sarah Jessica Parker,Sex and the City,25/03/1965,Sarah_Jessica_Parker
329,4754,Charlotte Le Bon,Anthropoid,04/09/1986,Charlotte_Le_Bon
330,4738,Teri Garr,Tootsie,11/12/1947,Teri_Garr
331,4713,Linda Blair,The Exorcist,22/01/1959,Linda_Blair
332,4674,Julie Walters,Billy Elliot,22/02/1950,Julie_Walters
333,4656,Greta Gerwig,Lady Bird,04/08/1983,Greta_Gerwig
334,4613,Samara Weaving,Ready or Not,23/02/1992,Samara_Weaving
335,4568,Jessica Tandy,Driving Miss Daisy,07/06/1909,Jessica_Tandy
336,4546,Hannah Herzsprung,The Reader,07/09/1981,Hannah_Herzsprung
337,4535,Elisabeth Shue,Leaving Las Vegas,06/10/1963,Elisabeth_Shue
338,4452,Belén Rueda,El orfanato,16/03/1965,Belén_Rueda
339,4445,Michelle Dockery,Downton Abbey,15/12/1981,Michelle_Dockery
340,4423,Ko Asung,Snowpiercer,10/08/1992,Ko_Asung
341,4387,Lola Dueñas,Mar adentro,06/10/1971,Lola_Dueñas
342,4342,Lubna Azabal,Incendies,15/08/1973,Lubna_Azabal
343,4324,Ellen Barkin,The Fan,16/04/1954,Ellen_Barkin
344,4310,Mary Elizabeth Winstead,10 Cloverfield Lane,28/11/1984,Mary_Elizabeth_Winstead
345,4306,Zoe Kazan,Ruby Sparks,09/09/1983,Zoe_Kazan
346,4305,Sarah Polley,Dawn of the Dead,08/01/1979,Sarah_Polley
347,4293,Barbra Streisand,Funny Girl,24/04/1942,Barbra_Streisand
348,4270,Frances O'Connor,A.I. Artificial Intelligence,12/06/1967,Frances_O'Connor
349,4244,Melinda Dillon,Magnolia,13/10/1939,Melinda_Dillon
350,4162,Maggie Cheung,Fa yeung nin wah,20/09/1964,Maggie_Cheung
351,4134,Imelda Staunton,Vera Drake,09/01/1956,Imelda_Staunton
352,4108,Juliane Köhler,Der Untergang,06/08/1965,Juliane_Köhler
353,4077,Lisa Bonet,Angel Heart,16/11/1967,Lisa_Bonet
354,4060,Alexandra Rapaport,Gåsmamman,26/12/1971,Alexandra_Rapaport
355,4002,Madeline Kahn,Paper Moon,29/09/1942,Madeline_Kahn
356,4001,Carmen Ejogo,Selma,22/10/1973,Carmen_Ejogo
357,3982,Kelly Preston,Battlefield Earth,13/10/1962,Kelly_Preston
358,3981,Sarah Silverman,Wreck-It Ralph,01/12/1970,Sarah_Silverman
359,3965,Catherine O'Hara,Best in Show,04/03/1954,Catherine_O'Hara
360,3964,Lauren Bacall,To Have and Have Not,16/09/1924,Lauren_Bacall
361,3964,Debbie Reynolds,Singin' in the Rain,01/04/1932,Debbie_Reynolds
362,3962,Julie Andrews,The Sound of Music,01/10/1935,Julie_Andrews
363,3932,Golshifteh Farahani,Paterson,10/07/1983,Golshifteh_Farahani
364,3925,Ruth Gordon,Rosemary's Baby,1896-10-30,Ruth_Gordon
365,3902,Elizabeth Berridge,Amadeus,02/05/1962,Elizabeth_Berridge
366,3898,Elizabeth Debicki,The Great Gatsby,24/08/1990,Elizabeth_Debicki
367,3842,Marlene Dietrich,Witness for the Prosecution,27/12/1901,Marlene_Dietrich
368,3829,Laura Harrier,Spider-Man: Homecoming,28/03/1990,Laura_Harrier
369,3824,Zooey Deschanel,New Girl,17/01/1980,Zooey_Deschanel
370,3808,Carroll Baker,Baby Doll,28/05/1931,Carroll_Baker
371,3780,Lake Bell,In a World...,24/03/1979,Lake_Bell
372,3774,Marilyn Monroe,Some Like It Hot,01/06/1926,Marilyn_Monroe
373,3753,Bibi Andersson,Persona,11/11/1935,Bibi_Andersson
374,3720,Kate Bosworth,Superman Returns,02/01/1983,Kate_Bosworth
375,3683,Marta Etura,Ofrenda a la tormenta,28/10/1978,Marta_Etura
376,3634,Katrin Cartlidge,Breaking the Waves,15/05/1961,Katrin_Cartlidge
377,3608,Candice Bergen,Miss Congeniality,09/05/1946,Candice_Bergen
378,3590,Julia Fox,Uncut Gems,02/02/1990,Julia_Fox
379,3590,Idina Menzel,Frozen,30/05/1971,Idina_Menzel
380,3583,Laura Harring,Mulholland Dr.,03/03/1964,Laura_Harring
381,3573,Maya Rudolph,Bridesmaids,27/07/1972,Maya_Rudolph
382,3556,Kim Cattrall,Sex and the City 2,21/08/1956,Kim_Cattrall
383,3524,Elizabeth Olsen,Martha Marcy May Marlene,16/02/1989,Elizabeth_Olsen
384,3496,Jeanne Tripplehorn,Basic Instinct,10/06/1963,Jeanne_Tripplehorn
385,3439,Kim Hunter,A Streetcar Named Desire,12/11/1922,Kim_Hunter
386,3411,Kelly McGillis,Witness,09/07/1957,Kelly_McGillis
387,3393,Diane Ladd,Wild at Heart,29/11/1935,Diane_Ladd
388,3384,Kim Greist,Brazil,12/05/1958,Kim_Greist
389,3377,Natalie Martinez,Death Race,12/07/1984,Natalie_Martinez
390,3373,Piper Laurie,The Hustler,22/01/1932,Piper_Laurie
391,3357,Leila Hatami,Jodaeiye Nader az Simin,01/10/1972,Leila_Hatami
392,3338,Virginia Madsen,Sideways,11/09/1961,Virginia_Madsen
393,3315,Bae Doona,Cloud Atlas,11/10/1979,Bae_Doona
394,3315,Xun Zhou,Li Mi De Cai Xiang,18/10/1974,Xun_Zhou
395,3275,Vicky Krieps,Phantom Thread,04/10/1983,Vicky_Krieps
396,3264,Caroline Goodall,Disclosure,13/11/1959,Caroline_Goodall
397,3222,Gong Li,Man cheng jin dai huang jin jia,31/12/1965,Gong_Li
398,3216,Brittany Murphy,Clueless,10/11/1977,Brittany_Murphy
399,3215,Wendy Hiller,Murder on the Orient Express,15/08/1912,Wendy_Hiller
400,3214,Jessica Barden,Hanna,21/07/1992,Jessica_Barden
401,3211,Alida Valli,The Third Man,31/05/1921,Alida_Valli
402,3196,Amanda Peet,2012,11/01/1972,Amanda_Peet
403,3190,Katharine Hepburn,The Lion in Winter,12/05/1907,Katharine_Hepburn
404,3189,Sarah Snook,Predestination,01/12/1987,Sarah_Snook
405,3166,Shelley Winters,The Poseidon Adventure,18/08/1920,Shelley_Winters
406,3163,Christina Ricci,Casper,12/02/1980,Christina_Ricci
407,3131,Kathleen Turner,Romancing the Stone,19/06/1954,Kathleen_Turner
408,3128,Gemma Arterton,Prince of Persia: The Sands of Time,02/02/1986,Gemma_Arterton
409,3117,Tippi Hedren,The Birds,19/01/1930,Tippi_Hedren
410,3091,Gloria Swanson,Sunset Blvd.,1899-03-27,Gloria_Swanson
411,3075,Rose Byrne,Spy,24/07/1979,Rose_Byrne
412,3065,Patricia Neal,Hud,20/01/1926,Patricia_Neal
413,3050,Sara Forestier,Le nom des gens,04/10/1986,Sara_Forestier
414,3040,Jane Alexander,Kramer vs. Kramer,28/10/1939,Jane_Alexander
415,3011,Trine Dyrholm,Dronningen,15/04/1972,Trine_Dyrholm
416,2963,Brigitte Helm,Metropolis,17/03/1906,Brigitte_Helm
417,2937,A.J. Cook,Criminal Minds,22/07/1978,A.J._Cook
418,2907,Virginie Ledoyen,8 femmes,15/11/1976,Virginie_Ledoyen
419,2895,Stockard Channing,Practical Magic,13/02/1944,Stockard_Channing
420,2887,Lesley Manville,Phantom Thread,12/03/1956,Lesley_Manville
421,2881,Parker Posey,Scream 3,08/11/1968,Parker_Posey
422,2839,Penelope Ann Miller,Carlito's Way,13/01/1964,Penelope_Ann_Miller
423,2839,Jill Clayburgh,Bridesmaids,30/04/1944,Jill_Clayburgh
424,2800,Minnie Driver,Circle of Friends,31/01/1970,Minnie_Driver
425,2797,Eliza Scanlen,Little Women,06/01/1999,Eliza_Scanlen
426,2788,Elizabeth Hurley,Austin Powers: International Man of Mystery,10/06/1965,Elizabeth_Hurley
427,2774,Elisabeth Moss,The Invisible Man,24/07/1982,Elisabeth_Moss
428,2756,Emmanuelle Riva,Hiroshima mon amour,24/02/1927,Emmanuelle_Riva
429,2712,Leonor Watling,The Oxford Murders,28/07/1975,Leonor_Watling
430,2710,Joanne Woodward,"Rachel, Rachel",27/02/1930,Joanne_Woodward
431,2698,Courtney Love,The People vs. Larry Flynt,09/07/1964,Courtney_Love
432,2672,Catherine Deneuve,Belle de jour,22/10/1943,Catherine_Deneuve
433,2661,Amber Heard,Aquaman,22/04/1986,Amber_Heard
434,2656,Anouk Aimée,8½,27/04/1932,Anouk_Aimée
435,2641,Julie Hagerty,Freddy Got Fingered,15/06/1955,Julie_Hagerty
436,2629,Soledad Villamil,El secreto de sus ojos,19/06/1969,Soledad_Villamil
437,2615,Valeria Bruni Tedeschi,Il est plus facile pour un chameau...,16/11/1964,Valeria_Bruni_Tedeschi
438,2555,Laura San Giacomo,"Sex, Lies, and Videotape",14/11/1962,Laura_San_Giacomo
439,2511,Gillian Anderson,The X Files,09/08/1968,Gillian_Anderson
440,2506,Mary McCormack,Deep Impact,08/02/1969,Mary_McCormack
441,2492,Shannyn Sossamon,Wristcutters: A Love Story,03/10/1978,Shannyn_Sossamon
442,2461,Marina Hands,Lady Chatterley,10/01/1975,Marina_Hands
443,2460,Ana Wagener,Biutiful,,Ana_Wagener
444,2460,Bárbara Lennie,Magical Girl,20/04/1984,Bárbara_Lennie
445,2457,Bette Davis,All About Eve,05/04/1908,Bette_Davis
446,2440,Jane Fonda,Klute,21/12/1937,Jane_Fonda
447,2440,Anne Baxter,All About Eve,07/05/1923,Anne_Baxter
448,2436,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,27/02/1932,Elizabeth_Taylor
449,2426,Fanny Ardant,8 femmes,22/03/1949,Fanny_Ardant
450,2415,Teresa Wright,Shadow of a Doubt,27/10/1918,Teresa_Wright
451,2409,Izabella Scorupco,GoldenEye,04/06/1970,Izabella_Scorupco
452,2388,Rebecca Ferguson,The Greatest Showman,19/10/1983,Rebecca_Ferguson
453,2368,Olivia Newton-John,Grease,26/09/1948,Olivia_Newton-John
454,2368,Eve Arden,Our Miss Brooks,30/04/1908,Eve_Arden
455,2368,Joan Blondell,Grease,30/08/1906,Joan_Blondell
456,2333,Anne Consigny,Elle,25/05/1963,Anne_Consigny
457,2331,Annabella Sciorra,The Hand That Rocks the Cradle,29/03/1960,Annabella_Sciorra
458,2326,Sylvia Sidney,Beetle Juice,08/08/1910,Sylvia_Sidney
459,2325,Rachel Ticotin,Total Recall,01/11/1958,Rachel_Ticotin
460,2283,Amira Casar,Call Me by Your Name,01/05/1971,Amira_Casar
461,2280,Jennifer Beals,Flashdance,19/12/1963,Jennifer_Beals
462,2273,Manuela Velasco,[Rec],23/10/1975,Manuela_Velasco
463,2257,Denise Richards,The World Is Not Enough,17/02/1971,Denise_Richards
464,2256,Natalie Wood,Rebel Without a Cause,20/07/1938,Natalie_Wood
465,2255,Nancy Allen,RoboCop,24/06/1950,Nancy_Allen
466,2246,Brooke Adams,Invasion of the Body Snatchers,08/02/1949,Brooke_Adams
467,2221,Dagmara Dominczyk,The Count of Monte Cristo,17/07/1976,Dagmara_Dominczyk
468,2214,Katrin Sass,Good Bye Lenin!,23/10/1956,Katrin_Sass
469,2205,Joely Richardson,Nip/Tuck,09/01/1965,Joely_Richardson
470,2205,Thekla Reuten,In Bruges,16/09/1975,Thekla_Reuten
471,2197,Heather Langenkamp,A Nightmare on Elm Street,17/07/1964,Heather_Langenkamp
472,2197,Ronee Blakley,Nashville,24/08/1945,Ronee_Blakley
473,2196,AnnaSophia Robb,Bridge to Terabithia,08/12/1993,AnnaSophia_Robb
474,2179,Blake Lively,Gossip Girl,25/08/1987,Blake_Lively
475,2175,Nia Long,The Best Man,30/10/1970,Nia_Long
476,2166,Barbara Stanwyck,Double Indemnity,16/07/1907,Barbara_Stanwyck
477,2149,Elsa Lanchester,Witness for the Prosecution,28/10/1902,Elsa_Lanchester
478,2143,Mary Astor,The Maltese Falcon,03/05/1906,Mary_Astor
479,2120,Lee Remick,Anatomy of a Murder,14/12/1935,Lee_Remick
480,2074,Debra Winger,Terms of Endearment,16/05/1955,Debra_Winger
481,2068,Marg Helgenberger,CSI: Crime Scene Investigation,16/11/1958,Marg_Helgenberger
482,2068,Danielle Panabaker,The Flash,19/09/1987,Danielle_Panabaker
483,2053,Lily James,Cinderella,05/04/1989,Lily_James
484,2051,Isabelle Huppert,Elle,16/03/1953,Isabelle_Huppert
485,2038,Gemma Jones,Sense and Sensibility,04/12/1942,Gemma_Jones
486,2032,Liv Ullmann,Viskningar och rop,16/12/1938,Liv_Ullmann
487,2029,Shu Qi,The Transporter,16/04/1976,Shu_Qi
488,1988,Mariel Hemingway,Manhattan,22/11/1961,Mariel_Hemingway
489,1984,Alexa Davalos,The Chronicles of Riddick,28/05/1982,Alexa_Davalos
490,1981,Marisa Berenson,Cabaret,15/02/1947,Marisa_Berenson
491,1950,Regina Taylor,Courage Under Fire,22/08/1960,Regina_Taylor
492,1945,Anne-Marie Duff,Nowhere Boy,08/10/1970,Anne-Marie_Duff
493,1923,Paprika Steen,Applaus,03/11/1964,Paprika_Steen
494,1916,Cecilia Roth,Todo sobre mi madre,08/08/1956,Cecilia_Roth
495,1915,Caitríona Balfe,Belfast,04/10/1979,Caitríona_Balfe
496,1911,Amy Irving,Traffic,10/09/1953,Amy_Irving
497,1905,Rebecca De Mornay,The Hand That Rocks the Cradle,29/08/1959,Rebecca_De_Mornay
498,1901,Ashanti,Coach Carter,13/10/1980,Ashanti
499,1891,Emilie de Ravin,Remember Me,27/12/1981,Emilie_de_Ravin
500,1862,Svetlana Khodchenkova,Tinker Tailor Soldier Spy,21/01/1983,Svetlana_Khodchenkova
501,1832,Elena Anaya,La piel que habito,17/07/1975,Elena_Anaya
502,1830,Julia Louis-Dreyfus,Seinfeld,13/01/1961,Julia_Louis-Dreyfus
503,1801,Harriet Andersson,Viskningar och rop,14/02/1932,Harriet_Andersson
504,1786,Rhea Perlman,Cheers,31/03/1948,Rhea_Perlman
505,1786,Mara Wilson,Matilda,24/07/1987,Mara_Wilson
506,1786,Embeth Davidtz,Bicentennial Man,11/08/1965,Embeth_Davidtz
507,1786,Pam Ferris,Matilda,11/05/1948,Pam_Ferris
508,1778,Julie Kavner,The Simpsons,07/09/1950,Julie_Kavner
509,1756,Ursina Lardi,Lore,19/12/1970,Ursina_Lardi
510,1750,Jessica Alba,Fantastic Four,28/04/1981,Jessica_Alba
511,1745,Cécile de France,L'auberge espagnole,17/07/1975,Cécile_de_France
512,1736,Celeste Holm,All About Eve,29/04/1917,Celeste_Holm
513,1726,Mary Stuart Masterson,Benny & Joon,28/06/1966,Mary_Stuart_Masterson
514,1726,Aunjanue Ellis,King Richard,21/02/1969,Aunjanue_Ellis
515,1723,Markéta Irglová,Once,28/02/1988,Markéta_Irglová
516,1705,Sandra Milo,8½,11/03/1933,Sandra_Milo
517,1701,JoBeth Williams,Poltergeist,06/12/1948,JoBeth_Williams
518,1696,Ana Torrent,El nido,12/07/1966,Ana_Torrent
519,1694,Rosario Flores,Hable con ella,04/11/1963,Rosario_Flores
520,1679,Jessie Buckley,I'm Thinking of Ending Things,28/12/1989,Jessie_Buckley
521,1674,Riley Keough,Mad Max: Fury Road,29/05/1989,Riley_Keough
522,1632,Irène Jacob,La double vie de Véronique,15/07/1966,Irène_Jacob
523,1623,Jean Arthur,Mr. Smith Goes to Washington,17/10/1900,Jean_Arthur
524,1616,Jean Simmons,Guys and Dolls,31/01/1929,Jean_Simmons
525,1600,Edna Purviance,A Woman of Paris: A Drama of Fate,1895-10-21,Edna_Purviance
526,1580,Meg Foster,They Live,10/05/1948,Meg_Foster
527,1578,Jennifer Lopez,Hustlers,24/07/1969,Jennifer_Lopez
528,1575,Ursula Andress,Dr. No,19/03/1936,Ursula_Andress
529,1573,Joan Fontaine,Suspicion,22/10/1917,Joan_Fontaine
530,1570,Giulietta Masina,Le notti di Cabiria,22/02/1921,Giulietta_Masina
531,1553,Imogen Poots,Vivarium,03/06/1989,Imogen_Poots
532,1549,Elizabeth Mitchell,The Purge: Election Year,27/03/1970,Elizabeth_Mitchell
533,1544,Ludivine Sagnier,Lupin,03/07/1979,Ludivine_Sagnier
534,1516,Kim Min-hee,Ah-ga-ssi,01/03/1982,Kim_Min-hee
535,1516,Kim Tae-ri,Ah-ga-ssi,24/04/1990,Kim_Tae-ri
536,1515,Lindsay Lohan,The Parent Trap,02/07/1986,Lindsay_Lohan
537,1514,Adrienne Barbeau,Escape from New York,11/06/1945,Adrienne_Barbeau
538,1493,Carmen Maura,"Mujeres al borde de un ataque de ""nervios""",15/09/1945,Carmen_Maura
539,1492,Jennifer Grey,Dirty Dancing,26/03/1960,Jennifer_Grey
540,1455,Lori Petty,Tank Girl,14/10/1963,Lori_Petty
541,1423,Björk,Dancer in the Dark,21/11/1965,Björk
542,1410,Ingrid Thulin,Viskningar och rop,27/01/1926,Ingrid_Thulin
543,1375,Elizabeth Peña,Rush Hour,23/09/1959,Elizabeth_Peña
544,1370,Kajol,Fanaa,05/08/1974,Kajol
545,1369,Sue Lyon,Lolita,10/07/1946,Sue_Lyon
546,1365,Kaitlyn Dever,Booksmart,21/12/1996,Kaitlyn_Dever
547,1353,Maricel Álvarez,Biutiful,,Maricel_Álvarez
548,1332,Christiane Paul,Im Juli,08/03/1974,Christiane_Paul
549,1317,Melissa McCarthy,The Heat,26/08/1970,Melissa_McCarthy
550,1292,Cher,Moonstruck,20/05/1946,Cher
551,1289,Lillian Gish,The Night of the Hunter,1893-10-14,Lillian_Gish
552,1253,Coleen Gray,The Killing,23/10/1922,Coleen_Gray
553,1250,Andrea Sawatzki,Tatort,23/02/1963,Andrea_Sawatzki
554,1237,Natalya Bondarchuk,Solyaris,10/05/1950,Natalya_Bondarchuk
555,1228,Taraneh Alidoosti,Forushande,12/01/1984,Taraneh_Alidoosti
556,1226,Jacqueline Bisset,Bullitt,13/09/1944,Jacqueline_Bisset
557,1222,Kassie Wesley DePaiva,One Life to Live,21/03/1961,Kassie_Wesley_DePaiva
558,1221,Lorraine Toussaint,Hudson Hawk,04/04/1960,Lorraine_Toussaint
559,1220,Amy Madigan,Field of Dreams,11/09/1950,Amy_Madigan
560,1211,Alison Brie,GLOW,29/12/1982,Alison_Brie
561,1208,Irene Papas,The Guns of Navarone,03/09/1929,Irene_Papas
562,1200,Melonie Diaz,Fruitvale Station,25/04/1984,Melonie_Diaz
563,1199,Claudette Colbert,It Happened One Night,13/09/1903,Claudette_Colbert
564,1197,Greta Scacchi,The Player,18/02/1960,Greta_Scacchi
565,1185,Nora Navas,Dolor y gloria,24/04/1975,Nora_Navas
566,1175,Sandy Dennis,Who's Afraid of Virginia Woolf?,27/04/1937,Sandy_Dennis
567,1171,Margot Kidder,Superman,17/10/1948,Margot_Kidder
568,1171,Eileen Brennan,Clue,03/09/1932,Eileen_Brennan
569,1171,Lesley Ann Warren,Victor/Victoria,16/08/1946,Lesley_Ann_Warren
570,1169,Olympia Dukakis,Moonstruck,20/06/1931,Olympia_Dukakis
571,1160,Sylvie Testud,La Môme,17/01/1971,Sylvie_Testud
572,1123,Florence Pugh,The Falling,03/01/1996,Florence_Pugh
573,1121,Jenny Agutter,Logan's Run,20/12/1952,Jenny_Agutter
574,1111,Susan Kelechi Watson,This Is Us,11/11/1981,Susan_Kelechi_Watson
575,1098,Ornella Muti,Flash Gordon,09/03/1955,Ornella_Muti
576,1085,Alexandra Shipp,X-Men: Apocalypse,16/07/1991,Alexandra_Shipp
577,1081,Karin Viard,Polisse,24/01/1966,Karin_Viard
578,1081,Marie-Laure Dougnac,Delicatessen,,Marie-Laure_Dougnac
579,1075,Nia Vardalos,My Big Fat Greek Wedding,24/09/1962,Nia_Vardalos
580,1071,Steffi Kühnert,Halt auf freier Strecke,19/02/1963,Steffi_Kühnert
581,1053,Lily Cole,Snow White and the Huntsman,27/12/1987,Lily_Cole
582,1053,Kathryn Erbe,Stir of Echoes,05/07/1965,Kathryn_Erbe
583,1053,Illeana Douglas,Stir of Echoes,25/07/1961,Illeana_Douglas
584,1046,Vanessa Hudgens,High School Musical 3: Senior Year,14/12/1988,Vanessa_Hudgens
585,1046,Selena Gomez,Spring Breakers,22/07/1992,Selena_Gomez
586,1046,Ashley Benson,Spring Breakers,18/12/1989,Ashley_Benson
587,1046,Rachel Korine,Spring Breakers,04/04/1986,Rachel_Korine
588,1030,Annie Girardot,La pianiste,25/10/1931,Annie_Girardot
589,1029,Barbara Bach,The Spy Who Loved Me,28/08/1946,Barbara_Bach
590,1027,Joan Chen,The Last Emperor,26/04/1961,Joan_Chen
591,1026,Kimberly Elise,The Manchurian Candidate,17/04/1967,Kimberly_Elise
592,1026,Jurnee Smollett,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,01/10/1986,Jurnee_Smollett
