"show_id","Languages"
"s3947","Korean"
"s2600","Spanish"
"s2711","English"
"s2608","Japanese"
"s975","Hindi"
"s2643","Tamil"
"s2650","Indonesian trans. to English"
"s1011","Hindi"
"s2715","Japanese"
"s1015","English"
"s1015","French"
"s3897","English"
"s3902","Japanese"
"s3905","Italian"
"s2674","Spanish; Basque; English"
"s1064","English"
"s1075","Hindi"
"s3922","Spanish"
"s3926","English"
"s3926","French"
"s3931","English"
"s3931","American Sign Language"
"s3932","English"
"s2740","Japanese"
"s2740","English"
"s2740","Dutch"
"s5962","Hindi"
"s4656","English"
"s4658","English"
"s4660","French"
"s3532","Telugu"
"s2052","Indonesian"
"s4619","English"
"s4619","Mandarin"
"s4620","English"
"s4624","English"
"s4625","Indonesian"
"s3489","Spanish"
"s22","Turkish"
"s4628","English"
"s4663","English"
"s4663","Thai"
"s6162","English"
"s6667","Malayalam"
"s4638","Spanish"
"s4639","Spanish"
"s4644","Chinese"
"s4644","Mandarin"
"s4647","Italian"
"s4649","English"
"s4650","Dutch"
"s2016","Marathi"
"s3541","English"
"s4670","Korean"
"s4533","English"
"s4536","Korean"
"s1773","English"
"s1773","German"
"s1773","Norwegian"
"s1773","Saami"
"s1773","North"
"s4470","Japanese"
"s4478","Telugu"
"s3376","Spanish"
"s3381","German"
"s3381","Hebrew"
"s3381","Yiddish"
"s7814","English"
"s3388","English"
"s3388","Chinese"
"s3388","Cantonese"
"s3388","Mandarin"
"s1831","Arabic"
"s3392","English"
"s4490","English"
"s4496","English"
"s4498","English"
"s4501","English"
"s4501","French"
"s4501","Indonesian"
"s4501","Cantonese"
"s3400","English"
"s3400","Afrikaans"
"s1848","Welsh"
"s1848","English"
"s4513","Basque"
"s4513","Spanish"
"s4515","English"
"s4516","Indonesian"
"s3436","Japanese"
"s1908","Korean"
"s3464","Hindi"
"s3471","Korean"
"s4577","Punjabi"
"s4590","English"
"s4406","English"
"s4406","Portuguese"
"s4351","English"
"s4351","Russian"
"s4351","Vietnamese"
"s4351","Polish"
"s4353","English"
"s4354","English"
"s4356","Italian"
"s7677","Mandarin; English; Arabic"
"s4367","Spanish"
"s4370","English"
"s4375","Indonesian"
"s1748","English"
"s4416","English"
"s4384","French"
"s4385","English"
"s4388","English"
"s4388","Portuguese"
"s4395","Tamil"
"s1754","English"
"s1770","Korean"
"s4875","English"
"s3866","Korean"
"s4847","English"
"s7832","Korean"
"s7832","Dutch"
"s4848","Spanish"
"s4849","Korean"
"s7280","English"
"s8647","English"
"s4866","English"
"s4868","English"
"s3837","Spanish"
"s945","English; Mandarin"
"s8138","Hindi"
"s8627","English"
"s4992","Japanese"
"s4994","English"
"s4994","Japanese"
"s4995","Korean"
"s6320","Galician"
"s6320","Spanish"
"s7034","Korean"
"s3972","Japanese"
"s7650","English"
"s7650","French"
"s1160","Spanish"
"s3978","Spanish"
"s3983","Spanish"
"s3983","English"
"s5001","English"
"s4979","Spanish"
"s4981","English"
"s4007","Spanish"
"s4007","Catalan"
"s4014","English"
"s4014","Portuguese"
"s4014","Malay"
"s4014","Somali"
"s4029","English"
"s4064","Japanese"
"s4065","Spanish"
"s4065","Portuguese"
"s4065","Paraguayan GuaranÃ­"
"s4067","Spanish"
"s6158","English"
"s752","Hindi"
"s2416","English"
"s4808","English"
"s4810","English"
"s634","Polish"
"s4818","French"
"s6533","English"
"s660","Thai"
"s662","French"
"s680","Thai"
"s3741","Hindi"
"s4826","Hindi"
"s4832","English"
"s2450","Japanese"
"s4842","English"
"s4842","French"
"s6821","Hindi"
"s538","Japanese"
"s4781","English"
"s4781","Italian"
"s4784","Spanish"
"s7473","English"
"s7473","Polish"
"s4752","English"
"s4759","English"
"s4764","Japanese"
"s3659","Marathi"
"s3693","English"
"s3696","English"
"s3696","French"
"s5093","Japanese"
"s4213","English"
"s4213","Icelandic"
"s1378","Scottish Gaelic"
"s1378","English"
"s1378","French"
"s1378","Scots"
"s4163","English"
"s4163","Taiwanese Mandarin"
"s4164","English"
"s7009","English"
"s5070","English"
"s5074","English"
"s3023","Assamese"
"s4193","Korean"
"s3029","English"
"s3029","French"
"s5083","English"
"s4208","Spanish"
"s4208","Hebrew"
"s3056","Japanese"
"s4222","Tamil"
"s5043","English"
"s5044","Georgian"
"s4125","Spanish"
"s6606","Mandarin"
"s4083","Spanish"
"s2891","English"
"s4092","Japanese"
"s4092","Korean"
"s1289","English"
"s1289","Spanish"
"s5049","English"
"s1304","English"
"s5036","English"
"s5038","English"
"s1310","English"
"s4100","English"
"s4117","Spanish"
"s2927","English"
"s7289","Danish"
"s1584","Korean"
"s4317","German"
"s4321","English"
"s4321","Japanese"
"s3084","Korean"
"s3084","English"
"s3086","English"
"s4242","Chinese"
"s4242","Mandarin"
"s4244","Japanese"
"s4327","Korean"
"s4253","Spanish"
"s4257","English"
"s4258","Hindi"
"s3092","Spanish"
"s7043","English"
"s4268","English"
"s4268","French"
"s4328","Korean"
"s4284","Hindi"
"s4285","English"
"s3125","Bengali"
"s4309","Korean"
"s4309","Japanese"
"s4310","English"
"s4312","English"
"s1556","French"
"s4709","Spanish"
"s4712","English"
"s4716","Japanese"
"s4716","Cantonese"
"s4716","Mandarin"
"s4677","English"
"s4677","Japanese"
"s4677","Hindi"
"s4677","Spanish"
"s4677","French"
"s4677","Chinese"
"s4677","Korean"
"s4677","German"
"s4677","Portuguese"
"s4677","Italian"
"s4678","Spanish"
"s6332","English"
"s4719","English"
"s7405","English"
"s6259","Russian"
"s4690","Norwegian"
"s4690","Swedish"
"s4690","Finnish"
"s260","Nepali"
"s4697","English"
"s4705","English"
"s4742","Japanese"
"s4743","Japanese"
"s3933","Tamil"
"s7362","Hindi"
"s3887","Spanish"
"s4908","English"
"s4913","English"
"s4919","Korean"
"s2654","Polish"
"s2661","Spanish"
"s1007","Hindi"
"s4926","French"
"s2683","Filipino"
"s4930","French"
"s7674","English"
"s90","Hindi"
"s90","English"
"s90","Telugu"
"s90","Tamil"
"s5278","English"
"s5286","English"
"s5259","English"
"s5263","Japanese"
"s5270","English"
"s4636","Arabic"
"s4636","Lebanese Arabic"
"s7926","Bengali"
"s6760","English"
"s8090","English"
"s5289","Vietnamese"
"s5289","Taiwanese Mandarin"
"s5290","English"
"s5290","Taiwanese Mandarin"
"s5298","Japanese"
"s5303","English"
"s5306","Spanish"
"s5306","English"
"s5314","Spanish"
"s5232","Japanese"
"s7243","English"
"s7243","Hindi"
"s7243","Mandarin"
"s5211","English"
"s5211","Spanish"
"s4540","English"
"s7796","English"
"s7796","Hindi"
"s4507","Bengali"
"s6602","Hindi"
"s8577","Mandarin"
"s3463","Korean"
"s8027","Spanish"
"s4565","Hindi"
"s4565","Urdu"
"s4604","Punjabi"
"s5250","Spanish"
"s4403","German"
"s5181","English"
"s3216","English"
"s3216","Hindi"
"s3216","French"
"s3216","Telugu"
"s3216","Korean"
"s3216","Turkish"
"s3216","Cantonese"
"s3216","Mandarin"
"s1648","Filipino"
"s8108","Korean"
"s5155","Japanese"
"s1662","Korean"
"s5159","English"
"s5160","English"
"s4373","Hindi"
"s8468","Korean"
"s4380","Mandarin"
"s4390","Japanese"
"s6484","English"
"s5176","English"
"s5178","Korean"
"s7015","English; Spanish"
"s912","English"
"s912","Hindi"
"s5495","English"
"s5471","English"
"s5476","English"
"s5476","Hindi"
"s5476","Urdu"
"s5476","Hindustani"
"s5477","Japanese"
"s5480","English"
