Position,Points,Name,Known.For,Birth.Date
343,9674,Matt Dillon,There's Something About Mary,18/02/1964
344,9641,Charles Bronson,C'era una volta il West,03/11/1921
345,9624,Treat Williams,Deep Rising,01/12/1951
346,9591,Jack Lemmon,The Apartment,08/02/1925
347,9497,Ashton Kutcher,That '70s Show,07/02/1978
348,9378,Chris Pine,Star Trek,26/08/1980
349,9378,Zachary Quinto,Star Trek,02/06/1977
350,9378,Eric Bana,Dirty John,09/08/1968
351,9378,Bruce Greenwood,Star Trek,12/08/1956
352,9378,Anton Yelchin,Star Trek,11/03/1989
353,9330,George C. Scott,Patton,18/10/1927
354,9321,Song Kang-ho,Salinui chueok,17/01/1967
355,9321,Lee Sun-kyun,Gisaengchung,02/03/1975
356,9321,Choi Woo-sik,Gisaengchung,26/03/1990
357,9298,Joseph Cotten,The Third Man,15/05/1905
358,9297,Jeremy Irons,Dead Ringers,19/09/1948
359,9248,Toshirô Mifune,Yôjinbô,01/04/1920
360,9219,Griffin Dunne,After Hours,08/06/1955
361,9209,Arnold Schwarzenegger,Terminator 2: Judgment Day,30/07/1947
362,9044,LaKeith Stanfield,Sorry to Bother You,12/08/1991
363,9028,Dermot Mulroney,My Best Friend's Wedding,31/10/1963
364,8944,Theo James,Divergent,16/12/1984
365,8944,Ansel Elgort,The Fault in Our Stars,14/03/1994
366,8937,George MacKay,1917,13/03/1992
367,8878,Sergi López,El laberinto del fauno,22/12/1965
368,8843,Charlton Heston,Ben-Hur,04/10/1923
369,8771,Rhys Ifans,The Amazing Spider-Man,22/07/1967
370,8727,Dennis Haysbert,Far from Heaven,02/06/1954
371,8699,Alan Alda,M*A*S*H,28/01/1936
372,8633,Irrfan Khan,The Lunchbox,07/01/1967
373,8582,Timothy Hutton,Ordinary People,16/08/1960
374,8507,Christian Slater,Very Bad Things,18/08/1969
375,8308,John Gielgud,Arthur,14/04/1904
376,8154,Tom Hiddleston,The Avengers,09/02/1981
377,8147,Moritz Bleibtreu,Knockin' on Heaven's Door,13/08/1971
378,8056,Charlie Sheen,Two and a Half Men,03/09/1965
379,8054,Jonathan Rhys Meyers,Den 12. mann,27/07/1977
380,8045,Suraj Sharma,Life of Pi,21/03/1993
381,7929,John Savage,The Last Full Measure,
382,7920,Barry Keoghan,The Killing of a Sacred Deer,18/10/1992
383,7804,Ryan Reynolds,Deadpool 2,23/10/1976
384,7790,Kiefer Sutherland,24,21/12/1966
385,7768,Conrad Veidt,Casablanca,1893-01-22
386,7660,Demián Bichir,The Hateful Eight,01/08/1963
387,7631,Lucas Hedges,"Three Billboards Outside Ebbing, Missouri",12/12/1996
388,7592,Matthias Habich,Enemy at the Gates,12/01/1940
389,7571,Sacha Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,13/10/1971
390,7540,Joseph Fiennes,Shakespeare in Love,27/05/1970
391,7394,Timothy Dalton,The Living Daylights,21/03/1946
392,7331,Adam Sandler,The Waterboy,09/09/1966
393,7252,Mandy Patinkin,Homeland,30/11/1952
394,7161,Ulrich Thomsen,Festen,06/12/1963
395,7153,Tómas Lemarquis,Blade Runner 2049,03/08/1977
396,7149,Donald Pleasence,Halloween II,05/10/1919
397,6994,Himesh Patel,Yesterday,13/10/1990
398,6964,Isaach De Bankolé,Casino Royale,12/08/1957
399,6962,Gerard Butler,300,13/11/1969
400,6954,Rod Steiger,In the Heat of the Night,14/04/1925
401,6931,Paul Henreid,Casablanca,10/01/1908
402,6898,Aidan Quinn,Practical Magic,08/03/1959
403,6881,Jack Thompson,'Breaker' Morant,31/08/1940
404,6872,Antonio Banderas,The Mask of Zorro,10/08/1960
405,6842,Fares Fares,Kvinden i buret,29/04/1973
406,6807,Justin Timberlake,Trolls,31/01/1981
407,6776,Logan Lerman,The Perks of Being a Wallflower,19/01/1992
408,6716,Noah Segan,Knives Out,05/10/1983
409,6672,Ulrich Tukur,Das Leben der Anderen,29/07/1957
410,6650,Tony Chiu-Wai Leung,Fa yeung nin wah,27/06/1962
411,6601,Choi Min-sik,Oldeuboi,22/01/1962
412,6601,Yoo Ji-tae,Oldeuboi,13/04/1976
413,6581,Rami Malek,Bohemian Rhapsody,12/05/1981
414,6512,Pruitt Taylor Vince,Identity,05/07/1960
415,6356,Rupert Friend,Hitman: Agent 47,01/10/1981
416,6310,Bob Hoskins,The Long Good Friday,26/10/1942
417,6299,Steve McQueen,The Great Escape,24/03/1930
418,6284,Song Kang-ho,Salinui chueok,17/01/1967
419,6211,Kevin Kline,Wild Wild West,24/10/1947
420,6049,James Mason,Lolita,15/05/1909
421,5924,Rob Morgan,Mudbound,24/02/1973
422,5924,Tyler Perry,Diary of a Mad Black Woman,14/09/1969
423,5878,Ricardo Darín,El secreto de sus ojos,16/01/1957
424,5827,Anthony Quinn,Alexis Zorbas,21/04/1915
425,5808,Billy Crystal,Forget Paris,14/03/1948
426,5768,Matthias Schoenaerts,De rouille et d'os,08/12/1977
427,5737,Clark Gable,It Happened One Night,01/02/1901
428,5645,Gunnar Björnstrand,Det sjunde inseglet,13/11/1909
429,5642,Lionel Barrymore,You Can't Take It with You,1878-04-28
430,5601,Ulrich Mühe,Das Leben der Anderen,20/06/1953
