"item","max.factor","max.value"
"4979",1,-0.0249960381086225
"3177",1,-0.024942845312097
"3038",1,-0.0248441933803654
"6171",1,-0.0248418927721714
"5957",1,-0.0248116857684964
"2081",1,-0.0247998016425529
"1210",1,-0.0247710635721491
"1826",1,-0.0247031913560697
"31",1,-0.0247013435587942
"4415",1,-0.0246776341836013
"3484",1,-0.0246344879440845
"3154",1,-0.0246183316845598
"863",1,-0.024601037591186
"624",1,-0.0245873203360819
"6289",1,-0.0245343525441521
"4098",1,-0.0245301596786042
"4532",1,-0.0244904354851799
"4103",1,-0.024485044996024
"3619",1,-0.0244781753283827
"5841",1,-0.0244582930568338
"1656",1,-0.0244574460178306
"289",1,-0.0244537495251453
"2977",1,-0.0243890208418595
"2499",1,-0.0243843233816876
"4021",1,-0.0243789451963286
"1447",1,-0.024251617346041
"6388",1,-0.0242304700839907
"3053",1,-0.0242168037423371
"5233",1,-0.0241709433742642
"6384",1,-0.0241169427232207
"4365",1,-0.0241112786546605
"3470",1,-0.0240937086861455
"5594",1,-0.0240627805977199
"5898",1,-0.0239716785206477
"3098",1,-0.0239482312063801
"2722",1,-0.0239444107021659
"3974",1,-0.0236481964715837
"1743",1,-0.0236238996116745
"726",1,-0.0234990894269517
"122",1,-0.0234732008177616
"6472",1,-0.0234183003692243
"3899",1,-0.0232725194731583
"6016",1,-0.0232427574066827
"5254",1,-0.023230519438918
"847",1,-0.023191609181135
"3901",1,-0.0231282481052334
"785",1,-0.0229997423724545
"5205",1,-0.022954113028141
"258",1,-0.0229490097810994
"2497",1,-0.0229264471071017
"870",1,-0.022647311682905
"3550",1,-0.0222748919144474
"5059",1,-0.0222748919144474
"5862",1,-0.0221366246417736
"2374",1,-0.0220802919742777
"2242",1,-0.0220700485027183
"3757",1,-0.022042960572907
"1283",1,-0.0217182864330796
"4018",1,-0.0216033039494755
"1444",1,-0.0215797967009008
"6473",1,-0.0214749578937503
"3614",1,-0.021310698764922
"4878",1,-0.0209884217112155
"5807",1,-0.0208052031099702
"1596",1,-0.0135144424182847
"198",1,-0.0112844588752615
"4778",1,-0.00824170982080331
"5901",1,-0.00803069366542581
"5881",1,-0.00801671515715682
"764",1,-0.00698422226836075
"4940",1,-0.00636175737757384
"2687",1,-0.00629522987144014
"5786",1,-0.00545917152988063
"425",1,-0.00245681947952056
"578",1,-0.00238649228674107
"6042",1,-0.0020992149752178
"5438",1,-0.00198465416094113
"2405",2,-0.0913667959985152
"1807",2,-0.0728441934360319
"3604",2,-0.0664370068609144
"3144",2,-0.0663949044765315
"3284",2,-0.0663354335717902
"3247",2,-0.0659823807356105
"3113",2,-0.0650671108807597
"3366",2,-0.0626454233885998
"2772",2,-0.0623967665566765
"1318",2,-0.0622840686470265
"3561",2,-0.0600686558129649
"3785",2,-0.0597811527561868
"3553",2,-0.0591199040739157
"3416",2,-0.0568299634713228
"4106",2,-0.0566627707073052
"2423",2,-0.055835330420525
"2350",2,-0.0554416273395243
"3942",2,-0.0547745327911267
"4142",2,-0.0547520703591981
"3290",2,-0.0544514116959396
"3220",2,-0.0543619106975789
"4140",2,-0.0537803468582022
"2250",2,-0.0537166735495146
"365",2,-0.0533689538313515
