show_id,title,Likes,Languages,Genres,Descriptions
s874,Ahaan,68%," English, Hindi",,"A self-indulgent man with OCD is jilted by his wife and finds eye-opening common ground and camaraderie with his neighbour, a young man with Down syndrome."
s875,Booba: Food Puzzle,58%,,,"In a cozy kitchen, Booba is a chef and co-hosting a cooking show. As usual, Booba is curious, impetuous, and has a wild imagination. Together with his friends Loola and Spike, Booba will show how to make funky and tasty dishes."
s877,Alma Matters,,,,
s878,Cinema Bandi,89%,Telugu,,A struggling rickshaw driver's life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers.
s879,Ferry,,,,"A ferry is a ship, watercraft or amphibious vehicle used to carry passengers, and sometimes vehicles and cargo, across a body of water. A passenger ferry with many stops, such as in Venice, Italy, is sometimes called a water bus or water taxi. Wikipedia"
s880,Halston,,,,"Roy Halston Frowick, known mononymously as Halston, was an American fashion designer who rose to international fame in the 1970s.\nHis minimalist, clean designs, often made of cashmere or ultrasuede, were a new phenomenon in the mid-1970s discotheques and redefined American fashion. Wikipedia"
s881,Haunted,71%,English," Horror, Reality television, Pseudo-documentary","This reality series, which comes from the producers of ""The Purge"" and ""Lore,"" provides viewers with a chilling glimpse into first-person accounts of supernatural events. People who have witnessed horrifying, peculiar or extraordinary events tell their tales, which include how the unexplained phenomena continue to haunt them. Stories include a boy who is haunted by visions of a woman hanging in his closet and sisters who grew up in a real-life house of horrors with a sadistic father who did unspeakable things.â€¦\xa0MORE"
s882,I Am All Girls,78%,English,,A relentless detective finds common ground with a killer systematically targeting the perpetrators running a powerful child-trafficking ring.
s883,Jungle Beat: The Movie,53%,,,A homesick alien crash-lands his spaceship near the colourful African jungle. His new animal friends need to get him back to his ship and teach him about friendship and fun before his Space-Conqueror father can take over the planet.
s884,"Love, Death & Robots",94%,,,"This collection of animated short stories spans several genres, including science fiction, fantasy, horror and comedy. World-class animation creators bring captivating stories to life in the form of a unique and visceral viewing experience. The animated anthology series includes tales that explore alternate histories, life for robots in a post-apocalyptic city and a plot for world domination by super-intelligent yogurt. Among the show's executive producers is Oscar-nominated director David Fincher.â€¦\xa0MORE"
s885,Move to Heaven,94%,Korean,Drama,"A young man with Asperger syndrome and his uncle work as trauma cleaners, clearing out the possessions of dead people, uncovering the stories they left behind and telling them to loved ones."
s889,The Upshaws - The Afterparty,,,,"The comedic dream team from ""The Upshaws"" discuss the hit series, share some anecdotes from their own upbringings and play a little swag-centric game."
s890,The Woman in the Window,59%,,,"Agoraphobic Dr. Anna Fox witnesses something she shouldn't while keeping tabs on the Russell family, the seemingly picture perfect clan that lives across the way."
s891,Castlevania,91%,," Horror, Action, Action fiction, Dark fantasy, Adventure, Fantasy, Drama, Horror fiction, Adventure fiction, Animation","Inspired by the popular video game series, this anime series is a dark medieval fantasy. It follows the last surviving member of the disgraced Belmont clan, Trevor Belmont, trying to save Eastern Europe from extinction at the hands of Vlad Dracula Tepes. As Dracula and his legion of vampires prepare to rid the world of humanity's stain, Belmont is no longer alone, and he and his misfit comrades race to find a way to save mankind from the grief-maddened Dracula.â€¦\xa0MORE"
s895,Dance of the Forty One,83%,,,"At the end of the 19th century, Ignacio de la Torre married the daughter of the president of Mexico, Porfirio DÃ­az. Ignacio leads a double life: he rises in the traditional world of politics while being a member of a clandestine society."
s896,Oxygen,,,,"Oxygen is the chemical element with the symbol O and atomic number 8. It is a member of the chalcogen group in the periodic table, a highly reactive nonmetal, and an oxidizing agent that readily forms oxides with most elements as well as with other compounds. Wikipedia"
s897,The Upshaws,91%,English,Sitcom,"In Indiana, a working-class African American family struggles to make it work and make it right without the blueprints to do it."
s898,Use For My Talent,89%,,,A romance blooms between the germophobic owner of a cleaning company and his slovenly employee as they help one another heal from their painful pasts.
s901,"Money, Explained",61%,English,Television documentary,"A conversation about money and its many minefields, from credit cards to casinos, scam artists to student loans."
s1227,The Houseboat,,,,
s1228,Bombay Begums,68%,Hindi,Drama,"Five ambitious women from various walks of life navigate dreams, desires and disappointments in modern-day Mumbai."
s1229,Bombay Rose,53%," English, Hindi",,"An orphan boy Salim lost his parents in the war and is now struggling through life alone. One day he meets the young flower seller Kamala at a market in the exciting city of Bombay and she falls for him, but she is Hindu and he is Muslim."
s1231,Aelay,,,,
s1232,City of Ghosts,59%,English," Comedy, Fantasy, Mockumentary","Ghost Club members embark on adventures all around Los Angeles as they interview ghosts, solve problems and learn about their city's history."
s1233,Dogwashers,43%,Spanish,,"When a narco past his prime refuses to pay a debt to an upstart, only a secret stash of money can save his men."
s1235,Nevenka: Breaking the Silence,69%,Spanish,Television documentary,Economist Nevenka FernÃ¡ndez discusses making history as the first Spanish woman to bring about the conviction of a politician for sexual harassment.
s1236,PokÃ©mon Journeys: The Series,92%," Japanese, English, Dutch",,"A Pokemon master, along with his small group of friends, travels around the world to capture as many pocket monsters as he can."
s1237,Sentinelle,52%,French,,"Following a traumatic experience in Syria, Klara, a highly trained French soldier, is transferred home. The day after a nightclub party, her sister was found raped and almost dead, so Klara uses her lethal skills to hunt down the man responsible."
s1239,Pacific Rim: The Black,75%,English," Action, Mecha Anime","After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, characters and allies."
s1147,Haunted: Latin America,71%,Spanish,Reality television,"Real people's terrifying tales of the chilling, unexplained and paranormal come to life through dramatic reenactments."
s1151,7 Yards: The Chris Norton Story,,,,A documentary that will inspire you to overcome. It took Chris Norton 7 years to walk his bride 7 yards down the aisle after a life-altering football tackle.
s1152,Octonauts & the Ring of Fire,49%,,,"In this film\'s adventure, a volcano erupts suddenly, suddenly awakening the Pacific Ocean floor of hundreds of volcanoes composed of the ""ring of fire"", this sudden event quickly turned into a global catastrophe.  The volcanic clusters that are about to erupt en masse threaten the horned whales washed ashore by the tsunami, the cap penguins living in the volcanic islands, the equipment of the small column maintenance station, the food planted by plant fish in the marine farms... Not to mention the plants and animals that live in the crater all year after year!â€¦\xa0MORE"
s1242,Moxie,82%,,,"Inspired by a confident new friend and her mother's rebellious past, a shy teenager publishes an anonymous zine calling out sexism at her school."
s1243,Murder Among the Mormons,75%,English," True crime, Television documentary",High-stakes exploits turn deadly and shake a global church to its core.
s1156,Marked,,,,
s1157,A Week Away,79%,,,"A troubled teenager takes a leap of faith by attending summer camp, where he finds love, friends, and a place to belong."
s1158,Bad Trip,74%,,,Hidden cameras capture two best friends pulling hilarious and inventive pranks on an unsuspecting public during a wild road trip.
s1164,Magic for Humans Spain,46%,,,"In this Spanish adaptation of ""Magic for Humans,"" tricks inspire delight and wonder among folks of all ages on the streets of Barcelona."
s1166,Pagglait,77%,,,"Widowed soon after marriage, a young woman contends with an inability to grieve, quirky relatives, and a startling discovery about her late husband."
s1167,The Irregulars,71%,English," Drama, Crime film, Mystery","Misfits investigate a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes."
s1168,Caught by a Wave,55%,Italian,,A summer fling born under the Sicilian sun quickly develops into a heartbreaking love story that forces a boy and girl to grow up too quickly.
s1169,DOTA: Dragon's Blood,90%,English,,Renowned Dragon Knight Davion becomes embroiled in events much larger than he could have ever imagined.
s1170,Pui Pui Molcar,88%,,,"They are guinea pigs and cars combined, and these cute Molcars have a lot of fun adventures while solving problems."
s1171,Secret Magic Control Agency,65%," English, Russian",,"Hansel and Gretel of fairy-tale fame -- now acting as secret agents -- must use magic, clever thinking and teamwork on a mission to find a missing king."
